pond,date,time,do_perc,temp_c,ph,orp,cond,turb,chla_ugl,no3_mgl,nh4_mgl,par_umol,do_mgl,depth_m,notes
Lucas,6/28/2023,11:46:20,166.3,18.24,7.65,185.8,529.1,13.69,97.28,0.7,1.4,172.6,15.18,0.75,
Lucas,6/28/2023,11:47:16,161.9,17.38,7.48,185,539.3,13.59,78.35,0.9,1.4,91.4,15.05,1,
Lucas,6/28/2023,11:49:04,121.8,16.77,7.29,181.6,542.5,15.12,87.52,1.3,1.4,40.3,11.46,1.25,
Lucas,6/28/2023,11:50:14,96.5,16.31,7.17,173.7,552.2,17.92,116.32,1.7,1.3,31.4,9.17,1.5,
Lucas,6/28/2023,11:51:44,48.5,16.13,6.93,-39,600.9,41.54,226.3,3.6,0.5,19.6,4.63,1.75,
Lucas,6/28/2023,11:52:18,37.3,16.12,6.92,-49.4,603.8,37.37,223.36,4,0.4,9.8,3.56,1.9,bottom
Mt Pleasant NE,6/16/2023,11:43:22,106.3,19.22,8.68,176.8,119.3,2.1,130.57,0,0.1,288.6,9.52,0.25,
Mt Pleasant NE,6/16/2023,11:44:04,109.9,19.21,8.67,173.5,119.7,1.88,139.02,0,0.1,103.2,9.85,0.5,
Mt Pleasant NE,6/16/2023,11:44:42,113.3,19.2,8.65,171.7,119.7,2.09,107.33,0,0.1,58.8,10.15,0.75,
Mt Pleasant NE,6/16/2023,11:45:22,115.4,18.71,8.59,168.6,121.1,1.97,66.58,0,0.2,35.5,10.45,1,
Mt Pleasant NE,6/16/2023,11:45:48,109.8,17.97,8.24,172.6,121.7,2.05,63.49,0,0.2,20.7,10.09,1.25,
Mt Pleasant NE,6/16/2023,11:46:18,103.5,17.52,7.65,179.8,126.3,1.86,37.09,0,0.4,6.9,9.6,1.5,
Mt Pleasant NE,6/16/2023,11:49:30,57.6,17.27,7.14,191,128.8,1.87,46.11,0,0.5,5.5,5.37,1.75,
Mt Pleasant NE,6/16/2023,11:51:54,39.6,17.09,6.97,194.8,130.9,2.28,22.08,0,0.7,2.4,3.7,2,
Mt Pleasant NE,6/16/2023,11:54:15,21.4,16.74,6.8,142.1,138.1,3.62,19.89,0,1.3,2.5,2.02,2.25,
Mt Pleasant NE,6/16/2023,11:55:05,16.9,16.46,6.64,-19.2,156.9,181.2,65.2,0,3.4,1.9,1.6,2.5,
Mt Pleasant NE,6/16/2023,11:56:17,11.7,16.35,6.62,-43.7,162.3,58.79,41.21,0,3.7,-2.1,1.11,2.6,bottom
Rogers,6/14/2023,11:57:05,96.2,19.99,7.12,244.8,65.5,0.95,21.35,0,0.2,154.4,8.49,0.25,
Rogers,6/14/2023,11:57:51,93.4,20.02,7.14,243,65.5,0.85,19.85,0,0.2,60.6,8.24,0.5,
Rogers,6/14/2023,11:58:23,92.7,20.03,7.2,238.7,65.5,0.82,24.26,0,0.1,40.6,8.17,0.75,
Rogers,6/14/2023,12:01:09,91.9,20.03,7.24,234.4,65.6,0.94,20.97,0,0.1,23,8.1,1,
Rogers,6/14/2023,12:01:51,91.9,20.01,7.24,234.4,65.5,0.91,20.67,0,0.1,17,8.11,1.25,
Rogers,6/14/2023,12:02:29,91.9,19.94,7.24,233.8,65.7,0.88,23.2,0,0.1,13.9,8.12,1.5,
Rogers,6/14/2023,12:02:55,91.8,19.62,7.21,233.9,66.2,0.86,26.21,0,0.1,10.8,8.16,1.75,
Rogers,6/14/2023,12:03:32,90.6,18.98,7.16,234.1,67.3,1.82,35.47,0,0.1,9,8.16,2,
Rogers,6/14/2023,12:04:22,84.9,18.23,7.01,235.8,68.9,2.14,47.4,0,0.1,10.1,7.76,2.25,
Rogers,6/14/2023,12:05:16,72.4,17.47,6.77,240.8,70.4,2.03,35.06,0,0.1,7.3,6.72,2.5,
Rogers,6/14/2023,12:06:56,47.6,16.08,6.49,248.9,77.8,2.36,23.94,0,0.1,4.9,4.55,2.75,
Rogers,6/14/2023,12:07:38,31.3,14.51,6.43,149.6,97.2,8.64,227.43,0,0.2,2,3.1,3,
Rogers,6/14/2023,12:08:30,18.1,13.97,6.46,119.7,115.3,6.98,327.36,0,0.2,0.1,1.81,3.15,bottom
Walnut_Ridge,6/27/2023,11:35:49,132.1,23.87,8.41,170,438.9,-0.16,7.77,3.5,0.5,2027.1,10.8,0.25,
Walnut_Ridge,6/27/2023,11:37:07,134,23.87,8.4,167.1,438.8,-0.25,11.53,3.4,0.5,633.8,10.95,0.5,
Walnut_Ridge,6/27/2023,11:37:25,134.2,23.85,8.38,167.5,438.7,-0.15,9.26,3.2,0.5,402.9,10.97,0.75,
Walnut_Ridge,6/27/2023,11:37:47,134.2,23.81,8.39,166.4,438.7,-0.29,12.99,3.3,0.5,315.7,10.98,1,
Walnut_Ridge,6/27/2023,11:38:19,133.8,23.8,8.37,166.5,438.5,0.06,9.9,3.2,0.5,254.8,10.96,1.25,
Walnut_Ridge,6/27/2023,11:38:45,133.6,23.76,8.35,165.5,439.2,-0.25,14.01,3.3,0.5,214.3,10.95,1.5,
Walnut_Ridge,6/27/2023,11:39:11,133.3,23.5,8.25,165.8,445.5,-0.24,19.26,3.4,0.5,203.9,10.97,1.75,
Walnut_Ridge,6/27/2023,11:42:51,180.5,22.73,8.23,167.2,485.8,-0.07,10.47,4.5,0.5,357.1,15.08,2,
Walnut_Ridge,6/27/2023,11:43:39,182.4,22.23,7.83,171.4,505.2,0.45,21.69,5.1,0.7,310.6,15.39,2.25,
Walnut_Ridge,6/27/2023,11:45:59,184.9,21.79,7.79,172.9,509.7,0.17,21.34,5.2,0.6,141.1,15.72,2.5,
Walnut_Ridge,6/27/2023,11:47:38,195.2,21.65,7.93,172.3,503.8,0.29,16.28,5.1,0.5,115.7,16.65,2.75,
Walnut_Ridge,6/27/2023,11:50:40,149.7,21.39,7.42,179.7,540,0.92,32.46,5.9,0.8,110.5,12.83,3,
Walnut_Ridge,6/27/2023,11:51:06,148.6,21.1,7.48,180.1,549.4,0.95,120.6,5.7,0.6,111,12.81,3.25,
Walnut_Ridge,6/27/2023,11:52:46,160.4,20.79,7.47,182,561.6,0.47,39.38,5.9,0.5,115.6,13.91,3.5,
Walnut_Ridge,6/27/2023,11:53:34,162.8,20.45,7.54,182.3,564.8,-0.16,33.92,5.6,0.5,109.4,14.21,3.75,
Walnut_Ridge,6/27/2023,11:54:08,162.9,20.12,7.6,181.8,550.8,-0.19,17.77,5.1,0.5,95.3,14.31,4,
Walnut_Ridge,6/27/2023,11:55:36,156.5,19.82,7.61,182,547.1,-0.18,18.23,5,0.5,65.8,13.83,4.25,
Walnut_Ridge,6/27/2023,11:58:52,80.7,19.18,7.44,183.2,551.8,-0.03,14.61,2.8,0.7,115.7,7.22,4.5,
Walnut_Ridge,6/27/2023,12:02:12,41.5,17.96,7.34,179.6,556,0.27,114.79,1,1.2,51.9,3.81,4.75,bottom
Applegate,6/15/2023,14:50:54,98.3,21.01,8.29,,49.4,,,,,,8.52,0.25,
Applegate,6/15/2023,14:52:02,99.4,20.71,8.09,,48.9,,,,,,8.67,0.5,
Applegate,6/15/2023,14:53:02,100.1,19.97,7.97,,48.8,,,,,,8.86,0.75,
Applegate,6/15/2023,14:53:49,100.3,19.54,7.95,,48.6,,,,,,8.95,1,
Applegate,6/15/2023,14:54:47,100.6,19.13,7.92,,48.8,,,,,,9.05,1.25,
Applegate,6/15/2023,14:55:38,99.7,18.89,7.88,,48.8,,,,,,9.01,1.5,
Applegate,6/15/2023,14:56:11,99.1,18.75,7.88,,48.8,,,,,,8.99,1.75,
Applegate,6/15/2023,14:57:14,98.6,18.68,7.86,,48.8,,,,,,8.95,2,
Applegate,6/15/2023,14:58:07,98.4,18.6,7.83,,48.8,,,,,,8.95,2.25,
Applegate,6/15/2023,14:59:10,96.9,18.52,7.8,,48.7,,,,,,8.83,2.5,
Applegate,6/15/2023,14:59:56,96.5,18.47,7.78,,48.5,,,,,,8.8,2.75,
Applegate,6/15/2023,15:00:49,96.3,18.4,7.73,,48.5,,,,,,8.8,3,
Applegate,6/15/2023,15:01:28,95.5,18.34,7.69,,48.9,,,,,,8.73,3.25,
Applegate,6/15/2023,15:02:36,92.2,18.25,7.58,,50.7,,,,,,8.45,3.5,
Applegate,6/15/2023,15:03:54,86.3,18.18,7.39,,50.5,,,,,,7.92,3.45,bottom
Barber,6/15/2023,11:07:40,96.9,19.85,7.75,,53.6,,,,,,8.6,0.25,
Barber,6/15/2023,11:08:33,100.3,19.78,7.65,,53.4,,,,,,8.91,0.5,
Barber,6/15/2023,11:09:26,101.3,19.64,7.58,,53.6,,,,,,9.03,0.75,
Barber,6/15/2023,11:11:59,101.9,19.09,7.55,,53.3,,,,,,9.18,1,
Barber,6/15/2023,11:12:28,101.9,18.91,7.58,,53.4,,,,,,9.22,1.25,
Barber,6/15/2023,11:12:55,102.4,18.86,7.59,,53.4,,,,,,9.26,1.5,
Barber,6/15/2023,11:13:32,102.5,18.76,7.56,,53.1,,,,,,9.29,1.75,
Barber,6/15/2023,11:14:07,101.4,18.6,7.54,,53.8,,,,,,9.22,2,
Barber,6/15/2023,11:14:39,98.7,18.34,7.44,,55.8,,,,,,9.02,2.25,
Barber,6/15/2023,11:15:08,95.3,17.86,7.3,,57.4,,,,,,8.81,2.5,
Barber,6/15/2023,11:15:52,90.8,17.25,7.24,,56.4,,,,,,8.49,2.75,
Barber,6/15/2023,11:16:36,94.5,16.29,7.18,,60.6,,,,,,9.02,3,
Barber,6/15/2023,11:17:08,76.7,15.43,6.98,,68.6,,,,,,7.46,3.25,
Barber,6/15/2023,11:17:57,47.9,14.14,6.91,,138.2,,,,,,4.79,3.5,
Barber,6/15/2023,11:18:41,26.9,12.94,7.01,,182.8,,,,,,2.76,3.75,
Barber,6/15/2023,11:19:28,13.9,11.75,6.98,,232.2,,,,,,1.47,4,
Barber,6/15/2023,11:20:06,9.1,11.36,6.95,,247.6,,,,,,0.97,4.25,bottom
Collmer,6/14/2023,12:40:57,99.3,19.62,8.35,,101.7,,,,,,8.85,0.25,
Collmer,6/14/2023,12:42:04,99.8,19.62,8.34,,101.6,,,,,,8.89,0.5,
Collmer,6/14/2023,12:42:46,100,19.62,8.35,,101.7,,,,,,8.91,0.75,
Collmer,6/14/2023,12:43:44,100.3,19.63,8.36,,101.7,,,,,,8.94,1,
Collmer,6/14/2023,12:45:06,100.6,19.64,8.36,,101.8,,,,,,8.96,1.25,
Collmer,6/14/2023,12:46:06,100.7,19.63,8.37,,101.8,,,,,,8.97,1.5,
Collmer,6/14/2023,12:48:02,100.8,19.63,8.38,,101.8,,,,,,8.98,1.75,
Collmer,6/14/2023,12:48:40,100.8,19.58,8.38,,101.7,,,,,,8.99,2,
Collmer,6/14/2023,12:49:22,100.8,19.51,8.38,,101.7,,,,,,9.01,2.25,
Collmer,6/14/2023,12:50:45,101.5,19.5,8.43,,101.5,,,,,,9.07,2.4,bottom
Dybowski,6/13/2023,13:13:01,98.4,19.66,8.64,,121.3,,,,,,8.76,0.25,
Dybowski,6/13/2023,13:13:22,101.7,19.67,8.62,,121.3,,,,,,9.05,0.5,
Dybowski,6/13/2023,13:13:41,103.6,19.62,8.58,,121.4,,,,,,9.23,0.75,
Dybowski,6/13/2023,13:14:01,105,19.52,8.56,,121.3,,,,,,9.38,1,
Dybowski,6/13/2023,13:14:25,104.7,18.76,8.45,,121.3,,,,,,9.49,1.25,
Dybowski,6/13/2023,13:14:50,103.7,18.53,8.34,,121.3,,,,,,9.44,1.5,
Dybowski,6/13/2023,13:15:10,102.2,18.39,8.27,,121.2,,,,,,9.33,1.75,
Dybowski,6/13/2023,13:15:29,101,18.31,8.26,,121.2,,,,,,9.24,2,
Dybowski,6/13/2023,13:15:48,100.2,18.22,8.24,,121.2,,,,,,9.18,2.25,
Dybowski,6/13/2023,13:16:10,99.4,18.11,8.26,,121.4,,,,,,9.13,2.5,
Dybowski,6/13/2023,13:16:41,98.8,18.03,8.23,,121.6,,,,,,9.09,2.75,
Dybowski,6/13/2023,13:17:09,98.2,17.85,8.24,,123.4,,,,,,9.07,3,
Dybowski,6/13/2023,13:17:38,94.3,17.48,8.09,,130.1,,,,,,8.78,3.25,
Dybowski,6/13/2023,13:18:02,88.6,17.03,7.91,,138.7,,,,,,8.33,3.5,
Dybowski,6/13/2023,13:18:28,76.4,16.7,7.75,,152.7,,,,,,7.23,3.75,
Marks,6/14/2023,9:45:01,98.4,18.99,8.37,,64.3,,,,,,8.88,0,
Marks,6/14/2023,9:45:54,98,19.02,8.13,,64.1,,,,,,8.84,0.25,
Marks,6/14/2023,9:46:39,98.2,19.02,8.08,,63.9,,,,,,8.85,0.5,
Marks,6/14/2023,9:47:27,98.2,19.01,8,,64,,,,,,8.86,0.75,
Marks,6/14/2023,9:48:03,98.4,19,8,,64,,,,,,8.88,1,
Marks,6/14/2023,9:48:50,98.4,18.96,7.96,,64.1,,,,,,8.89,1.25,
Marks,6/14/2023,9:49:25,98.2,18.86,7.97,,64.4,,,,,,8.89,1.5,
Marks,6/14/2023,9:50:01,98,18.73,7.98,,64.7,,,,,,8.89,1.75,
Marks,6/14/2023,9:51:51,101.4,18.22,8.2,,64.8,,,,,,9.3,2,
Marks,6/14/2023,9:52:49,100.6,17.69,8.2,,64.6,,,,,,9.32,2.25,
Marks,6/14/2023,9:55:50,107.9,16.71,8.14,,66.6,,,,,,10.2,2.5,
Marks,6/14/2023,9:57:30,88.8,15.33,7.58,,71.1,,,,,,8.65,2.75,
Marks,6/14/2023,10:00:53,26.6,13.76,6.8,,83.9,,,,,,2.68,3,
Marks,6/14/2023,10:03:47,5.1,12.24,6.85,,114.2,,,,,,0.54,3.25,
Marks,6/14/2023,10:04:52,2.7,11.06,6.95,,151.9,,,,,,0.29,3.5,
Marks,6/14/2023,10:05:49,1.5,10.8,7,,153.7,,,,,,0.16,3.6,bottom
StickAndStone,6/16/2023,9:24:29,98,17.9,7.91,,654.6,,,,,,9.03,0,
StickAndStone,6/16/2023,9:26:14,98.6,17.87,7.89,,656,,,,,,9.09,0.25,
StickAndStone,6/16/2023,9:27:09,98.4,17.75,7.87,,661.8,,,,,,9.09,0.5,
StickAndStone,6/16/2023,9:31:15,83.5,17.18,7.81,,690.6,,,,,,7.81,0.75,
StickAndStone,6/16/2023,9:33:07,69.9,16.48,7.75,,701,,,,,,6.63,1,
StickAndStone,6/16/2023,9:35:17,67.9,15.98,7.78,,695.5,,,,,,6.51,1.25,
StickAndStone,6/16/2023,9:36:01,67.8,15.61,7.8,,684.1,,,,,,6.56,1.5,
StickAndStone,6/16/2023,9:38:55,40.5,15.28,7.57,,687.2,,,,,,3.94,1.75,
StickAndStone,6/16/2023,9:42:06,20.2,15.12,7.46,,701.2,,,,,,1.97,2,bottom
Vesa,6/13/2023,10:29:24,91.3,19.27,8.41,,85.2,,,,,,8.19,0.25,
Vesa,6/13/2023,10:30:21,91.8,19.33,8.07,,85.9,,,,,,8.23,0.5,
Vesa,6/13/2023,10:31:28,90.3,18.94,7.94,,85,,,,,,8.16,0.75,
Vesa,6/13/2023,10:32:10,89.1,18.45,7.86,,84.9,,,,,,8.13,1,
Vesa,6/13/2023,10:33:19,87.1,18.38,7.78,,84.9,,,,,,7.96,1.25,
Vesa,6/13/2023,10:34:13,85.8,18.26,7.71,,84.8,,,,,,7.86,1.5,
Vesa,6/13/2023,10:34:56,84.7,18.13,7.67,,85.2,,,,,,7.78,1.75,
Vesa,6/13/2023,10:36:26,78.6,17.82,7.61,,87.2,,,,,,7.27,2,
Vesa,6/13/2023,10:37:40,64.5,17.23,7.44,,92.4,,,,,,6.04,2.25,
Vesa,6/13/2023,10:40:21,21.3,16.65,7.22,,102.1,,,,,,2.01,2.5,
Vesa,6/13/2023,10:43:01,7.7,16.53,7.21,,106,,,,,,0.73,2.75,bottom
